S.no,course_id,course_title,course_description,Concentration,Pre requisites,price,num_lectures,Level,course_availability,course_duration
1,CPSC 558,Advanced Computer Networking,"System-oriented view of computer network design, protocol implementation, networking, high-speed networking, network management, computer network performance issues. ",Cybersecurity,CPSC 471 - Computer Communications,"$1,190.00 ",3,Advanced,Spring,4 months
2,CPSC 552,Cyber Forensics ,Introduction to principles and practices of cyber forensics. Topics include: developing an investigative capability; legal and IT requirements; forensic tools; incident response; live forensic investigations; seizure of digital information; operating system boot processes; and investigation of network traffic. ,Cybersecurity,CPSC 456 - Network Security Fundamentals,"$1,190.00 ",2,Advanced,Spring,4 months
3,CPSC 551,Operating Systems Design,"Design and evaluation techniques for controlling automatic resource allocation, providing efficient programming environments and appropriate user access to the system, and sharing the problem solving facilities.",Computer Systems,CPSC 351 - Operating Systems Concepts,"$1,190.00 ",3,Advanced,Spring,4 months
4,CPSC 549,Web Application Frameworks,Examine and compare current patterns and models for modern web application development. Analyze front- and back-end web framework design and architecture. Emerging web technologies and current research.,Software Development,CPSC 449 - Web Back-End Engineering ,"$1,190.00 ",3,Advanced,Spring,4 months
5,CPSC 548 ,"Professional, Ethical and Legal Issues for Software Engineers","Professional, legal and ethical issues pertaining to software engineering. Topics include professional codes of ethics, intellectual property laws, computer privacy and human-computer interaction. Relevant regulatory documents and their applications. ",Software Engineering,CPSC 362 - Foundations of Software Engineering,"$1,190.00 ",2,Advanced,Spring,4 months
6,CPSC 547,Software Measurement,"Current software measurement practices. Topics include: establishing an effective software metrics program; measuring software product, project and process; applying Statistical Process Control and other statistical techniques. High maturity concepts defined in CMMI model will be discussed. Stresses a practitioner-based approach. CPSC 362 recommended.",Software Engineering,CPSC 362 - Foundations of Software Engineering,"$1,190.00 ",4,Advanced,Spring,4 months
7,CPSC 546,Modern Software Management,"Modern project management methodologies and techniques. Software development process. Planning, estimating, organizing, directing, monitoring, controlling software projects and managing risks. Other related software management issues, such as infrastructure, quality software development, project and product metrics and external factors. CPSC 362 recommended",Software Engineering,CPSC 362 - Foundations of Software Engineering,"$1,190.00 ",3,Advanced,Spring,4 months
8,CPSC 545,Software Design and Architecture,"Advanced software design and architecture principles focusing a software engineering approach to the development process. Topics include architecture business cycle, quality attributes, attribute-driven design method, architectural styles, design patterns, software product lines and component-based design. CPSC 362 recommended.",Software Engineering,CPSC 362 - Foundations of Software Engineering,"$1,190.00 ",2,Advanced,Spring,4 months
9,CPSC 544,Advanced Software Process,"Advanced guidance for defining and improving the software development process. Concepts of software maturity framework, principles of process improvement and software process assessment. Current topics such as CMMI and SCAMPI. CPSC 362 recommended.",Software Engineering,CPSC 362 - Foundations of Software Engineering,"$1,190.00 ",2,Advanced,Spring,4 months
10,CPSC 543,Software Maintenance ,"Theory and practice of maintaining large-scale software. Maintenance framework, process, measures, and process management. Topics include fundamentals of software change and its implications, maintenance process models, reusability for maintenance, reverse engineering, maintenance testing, software configuration management and tools in maintenance. CPSC 362 recommended.",Software Engineering,CPSC 362 - Foundations of Software Engineering,"$1,190.00 ",2,Advanced,Spring,4 months
11,CPSC 542,Software Verification and Validation,"Theory and practice of software verification and validation (V&V), including software integrity levels, minimum V&V tasks, walkthroughs, inspections and clean room. Topics include: white-box and black-box testing, boundary value analysis, equivalence class partitioning, unit testing, functional testing and test plans. CPSC 362 recommended.",Software Engineering,CPSC 362 - Foundations of Software Engineering,"$1,190.00 ",3,Advanced,Spring,4 months
12,CPSC 541,Systems and Software Standards and Requirements ,"SESC framework and the IEEE Software Engineering Standards. Establishing the following standards: Software Life Cycle Processes, Work Product Standards, Process Standards, Requirement Analysis and Management and System Integration. Introduces CMMI framework; discuss number of practical lessons. CPSC 362 recommended.",Software Engineering,CPSC 362 - Foundations of Software Engineering,"$1,190.00 ",4,Advanced,Spring,4 months
13,CPSC 535,Advanced Algorithms,"Design and analysis of sophisticated algorithms and data structures. Lower, tightand pseudo-polynomial bounds. Randomization, approximationand special-purpose data structures. Algorithmic frameworks, such as maximum flow and linear programming. CPSC 335 recommended.",Computer Science (Theory),CPSC 335 - Algorithm Engineering,"$1,190.00 ",3,Advanced,Spring,4 months
